RowNumber,Age,Balance,CreditScore,EstimatedSalary,NumOfProducts,IsActiveMember,Tenure,Geography,Gender,HasCrCard,Exited
124,48,126384.42,684,198129.36,1,1,10,Germany,Female,1,0
125,28,0,625,183646.41,1,0,3,France,Female,0,0
126,42,152603.45,432,110265.24,1,0,9,France,Male,1,1
127,52,0,549,8636.05,1,1,1,France,Female,0,1
128,56,148507.24,625,46824.08,1,0,0,Germany,Male,1,1
129,41,0,828,171378.77,2,0,7,France,Female,1,0
130,24,101827.07,770,167256.35,1,0,9,France,Male,1,0
131,34,0,758,124226.16,2,1,3,France,Female,1,0
132,33,130862.43,795,114935.21,1,1,9,Germany,Female,1,0
133,38,122570.87,687,35608.88,1,1,9,France,Male,1,0
134,25,0,686,16459.37,2,1,1,France,Male,0,0
135,39,124828.46,789,124411.08,2,1,7,Germany,Male,1,0
136,50,144895.05,589,34941.23,2,1,5,Germany,Female,1,0
137,34,63663.93,461,167784.28,1,1,5,Germany,Female,0,0
138,40,133463.1,637,93165.34,1,1,2,France,Male,0,0
139,48,213146.2,584,75161.25,1,0,2,Spain,Female,1,1
140,35,129490.36,579,8590.83,2,1,1,Spain,Female,0,1
141,44,137452.09,756,189543.9,1,0,10,Germany,Male,1,0
142,34,0,663,180427.24,2,1,7,France,Male,1,0
143,43,125851.93,682,193318.33,1,1,5,France,Female,1,0
144,52,0,793,159123.82,1,0,2,Spain,Male,1,1
145,31,40915.55,691,126213.84,1,0,5,France,Female,1,1
146,21,113157.22,485,54141.5,1,1,5,Spain,Female,1,0
147,29,138296.94,635,141075.51,2,0,8,Spain,Female,1,0
148,37,106967.18,650,24495.03,1,0,5,France,Male,0,0
149,44,120681.63,735,74836.34,1,0,9,France,Male,1,0
150,32,0,416,878.87,2,1,0,France,Male,0,0
151,32,0,754,89520.75,2,0,7,Spain,Female,1,0
152,48,0,535,149892.79,1,0,9,France,Female,1,1
153,42,0,716,180800.42,2,0,8,Spain,Male,1,0
154,37,127609.59,539,98646.22,1,0,2,France,Male,1,0
155,43,0,614,109041.53,2,1,6,France,Female,1,0
156,57,0,706,17941.16,1,0,7,Spain,Male,1,1
157,33,0,758,82996.47,2,0,7,France,Female,0,0
158,28,0,586,92067.35,2,1,2,Spain,Female,1,0
159,73,97259.25,646,104719.66,1,1,6,France,Female,0,0
160,33,123246.7,631,112687.57,1,0,4,Germany,Female,0,0
161,22,101060.25,717,84699.56,1,1,6,Spain,Female,0,0
162,30,0,684,83473.82,2,0,2,France,Male,1,0
163,49,108007.36,800,47125.11,1,0,7,France,Female,0,0
164,36,0,721,106977.8,2,1,2,Spain,Female,1,0
165,29,133702.89,683,55582.54,1,0,0,Spain,Male,1,1
166,31,125189.75,660,139874.43,2,1,9,Germany,Male,1,0
167,24,113034.22,704,162503.48,1,0,7,Germany,Female,1,1
168,41,109013.23,615,196499.96,1,0,9,Spain,Female,1,0
169,39,0,667,40721.24,2,0,2,Spain,Female,1,1
170,24,57929.81,682,53134.3,2,0,9,Germany,Male,0,0
171,29,130114.39,484,164017.89,1,0,4,France,Female,1,0
172,27,95826.49,628,155996.96,2,0,5,Germany,Male,1,0
173,44,129608.57,480,5472.7,1,0,10,Germany,Male,1,1
174,30,169462.09,578,112187.11,1,0,4,France,Male,1,0
175,40,0,512,146457.83,2,1,5,France,Male,1,0
176,35,133868.21,484,27286.1,1,1,7,Spain,Female,1,0
177,30,0,510,130553.47,2,1,0,France,Female,1,0
178,36,190479.48,606,179351.89,2,0,5,Germany,Male,0,0
179,40,101993.12,597,94774.12,1,1,8,Spain,Female,0,0
180,55,161608.81,754,8080.85,1,0,3,Germany,Female,1,1
181,45,122311.21,850,19482.5,1,1,2,Spain,Female,1,0
182,65,0,510,48071.61,2,1,2,France,Male,1,0
183,45,162150.42,778,174531.27,2,0,1,Germany,Female,1,0
184,42,0,636,55470.78,2,1,2,France,Male,1,0
185,50,0,804,8546.87,1,1,4,France,Female,1,1
186,32,0,514,95857.18,2,0,8,France,Male,1,0
187,39,99010.67,730,194945.8,1,0,1,France,Female,1,0
188,37,0,525,131521.72,1,1,0,Spain,Female,0,0
189,30,0,616,196108.51,2,1,5,Spain,Male,0,0
190,34,111388.18,687,148564.76,2,0,7,Germany,Female,1,0
191,41,56214.85,715,92982.61,2,0,8,France,Female,0,1
192,36,84327.77,512,17675.36,2,0,3,France,Female,1,0
193,40,0,479,114996.43,2,0,1,France,Male,0,0
194,32,93012.89,601,86957.42,1,0,8,France,Male,1,0
195,29,61710.44,580,128077.8,2,0,9,Spain,Male,1,0
196,35,174790.15,807,600.36,1,1,3,France,Male,1,0
197,32,0,616,43001.46,2,1,6,Spain,Female,1,0
198,37,107720.64,721,158591.12,1,1,3,Germany,Male,1,0
199,57,0,501,47847.19,2,1,10,France,Male,1,0
200,35,96423.84,521,10488.44,1,0,6,France,Male,1,0
201,30,141040.01,850,5978.2,1,1,2,Spain,Male,1,0
202,42,105420.18,759,121409.06,1,1,4,France,Male,0,0
203,50,0,516,146145.93,1,1,5,Spain,Male,0,1
204,38,129022.06,711,14374.86,2,1,2,France,Female,1,1
205,33,176666.62,512,94670.77,1,0,3,Spain,Male,1,0
206,37,0,550,179670.31,1,1,3,France,Male,1,0
207,41,89763.84,608,199304.74,1,0,3,Spain,Female,0,1
208,34,134954.53,618,151954.39,1,1,5,France,Male,1,0
209,45,0,643,142513.5,1,0,5,France,Male,1,1
210,45,106376.85,671,158264.62,1,1,2,France,Male,0,0
211,33,161814.64,689,169381.9,2,0,2,Germany,Male,1,0
212,31,0,603,169915.02,2,1,8,France,Male,1,0
213,41,0,620,88852.47,2,0,9,France,Female,0,0
214,34,63095.01,676,40645.81,1,1,1,France,Female,1,0
215,26,118287.01,572,60427.3,2,0,4,Germany,Male,0,0
216,47,106854.21,668,157959.02,1,1,7,Germany,Male,0,1
217,46,49512.55,695,133007.34,1,0,7,France,Male,1,0
218,33,0,730,176576.62,2,0,9,Spain,Female,0,0
219,43,105799.32,807,34888.04,2,0,1,France,Male,1,1
220,54,0,592,28737.71,1,1,8,France,Male,1,1
221,31,114722.05,726,98178.57,2,1,9,France,Female,1,0
222,30,0,514,125010.24,1,1,7,Spain,Male,0,0
223,42,0,567,167984.61,2,1,2,France,Male,1,0
224,33,0,850,4861.72,1,0,10,France,Male,1,1
225,45,99564.22,671,108872.45,1,1,6,Germany,Male,1,1
226,37,170557.91,670,198252.88,2,0,4,France,Male,1,0
227,30,0,694,26960.31,2,1,9,France,Female,1,0
228,39,74596.15,547,85746.52,3,1,6,Germany,Female,1,1
229,50,96888.39,751,77206.25,1,0,2,Germany,Male,1,1
230,29,130830.22,594,61048.53,1,0,3,Germany,Female,1,0
231,72,0,673,111981.19,2,1,1,France,Male,0,0
232,40,0,610,62232.6,2,0,0,France,Male,1,0
233,37,0,512,156105.03,2,1,1,France,Female,0,0
234,20,119714.25,767,150135.38,2,1,3,Germany,Male,0,0
235,67,113978.97,585,93146.11,2,1,5,France,Female,0,0
236,42,100160.75,763,33462.94,1,0,6,Germany,Male,1,1
237,29,0,712,144375,1,1,2,France,Female,1,0
238,43,116220.5,539,55803.96,3,0,3,Germany,Female,1,1
239,46,0,668,89048.46,3,0,2,France,Female,1,1
240,28,81173.83,703,162812.16,2,1,2,France,Male,0,0
241,38,0,662,136259.65,2,0,4,Spain,Male,1,0
242,39,116803.8,725,124052.97,1,0,5,Germany,Female,1,0
243,37,105961.68,703,74158.8,2,1,8,France,Male,0,0
244,67,117411.6,659,45071.09,1,1,6,Germany,Male,1,1
245,34,0,523,62030.06,2,0,7,Spain,Male,1,0
246,40,123497.58,635,131953.23,1,0,10,France,Female,1,1
247,26,152400.51,772,79414,2,0,7,Germany,Male,1,0
248,26,0,545,199638.56,2,1,1,France,Female,1,0
249,24,103097.85,634,157577.29,1,1,8,Germany,Male,1,0
250,54,126418.14,739,134420.75,1,0,8,Germany,Male,1,1
251,36,77846.9,771,99805.99,1,0,5,Germany,Female,0,0
252,34,0,587,97932.68,2,1,1,Spain,Female,1,0
253,79,0,681,170968.99,2,1,0,France,Female,0,0
254,37,79731.91,544,57558.95,1,1,2,Germany,Male,1,0
255,28,0,696,176713.47,1,0,8,Spain,Male,0,0
256,41,0,766,34283.23,2,1,0,Spain,Male,0,0
257,34,0,727,198637.34,2,1,10,France,Male,1,0
258,34,37266.67,671,156917.12,2,0,6,Germany,Female,0,0
259,30,127992.25,693,50457.2,1,1,6,France,Female,1,0
260,38,54901.01,850,140075.55,1,1,3,Germany,Male,1,0
261,42,108748.08,732,65323.11,2,1,9,Germany,Male,1,0
262,48,99906.19,726,64323.24,1,0,6,Spain,Female,1,0
263,32,184686.41,557,14956.44,2,0,6,France,Female,1,0
264,26,110654.02,682,111879.21,1,1,0,France,Female,0,0
265,31,79019.8,738,18606.23,1,1,9,Spain,Male,1,0
266,36,99240.51,531,123137.01,1,0,9,Spain,Female,1,0
267,34,0,498,148528.24,2,1,2,France,Male,1,0
268,36,0,651,13898.31,2,0,7,France,Male,1,0
269,39,0,549,81259.25,1,0,7,Spain,Female,0,1
270,35,52436.2,791,161051.75,1,0,7,Germany,Female,1,0
271,41,0,650,191599.67,2,1,9,Spain,Male,0,0
272,34,100337.96,733,48559.19,3,0,3,Germany,Male,1,1
273,34,149297.19,811,186339.74,2,1,1,Germany,Female,1,0
274,30,0,707,33159.37,2,0,8,France,Male,1,0
275,28,145605.44,712,93883.53,1,1,4,Germany,Male,0,0
276,37,0,706,110899.3,2,1,7,Spain,Female,1,0
277,62,0,756,11199.04,1,1,3,France,Male,1,1
278,53,0,777,189992.97,2,0,10,France,Female,1,0
279,35,84026.86,646,164255.69,1,1,6,France,Male,0,0
280,46,0,714,152167.79,1,0,1,France,Male,1,1
281,39,0,782,33949.67,2,1,8,France,Male,1,0
282,29,0,775,68143.93,2,1,10,Spain,Male,1,0
283,35,138718.92,479,47251.79,1,1,4,Germany,Male,1,1
284,42,118274.71,807,25885.72,1,1,7,France,Male,1,0
285,22,174185.98,799,192633.85,2,1,8,France,Female,0,0
286,40,113208.86,675,34577.36,2,0,7,France,Male,1,0
287,29,103907.28,602,161229.84,1,0,5,Spain,Male,1,0
288,32,119023.28,475,100816.29,1,0,8,France,Female,1,0
289,26,166297.89,744,181694.44,1,1,5,Spain,Female,1,0
290,34,0,588,79078.91,2,0,10,Spain,Male,1,0
291,42,63227,703,137316.32,1,1,9,Germany,Male,0,0
292,41,94521.17,747,194926.86,2,0,5,Spain,Female,1,0
293,27,0,583,51285.49,2,0,7,France,Male,1,0
294,34,112822.26,750,150401.53,1,0,9,Spain,Female,0,1
295,38,0,681,112491.96,2,1,3,France,Male,1,0
296,25,135903.33,773,73656.38,1,0,2,France,Male,1,0
297,31,125169.26,714,106636.89,1,1,4,France,Female,1,0
298,44,0,687,155853.52,3,0,7,Spain,Female,1,1
299,58,149117.31,511,162599.51,1,1,0,France,Male,1,0
300,33,0,627,103737.82,2,1,5,France,Male,1,0
301,31,0,694,160990.27,2,0,10,France,Female,1,0
302,36,132311.71,616,15462.84,1,0,6,Spain,Female,0,0
303,35,0,687,10334.05,2,0,8,France,Male,1,0
304,33,0,712,190686.16,2,1,6,France,Female,1,0
305,33,118082.89,553,94440.45,1,0,4,France,Male,0,0
306,31,119266.69,667,28257.63,1,1,1,France,Male,1,0
307,43,0,731,170034.95,1,1,2,France,Male,1,1
308,35,156847.29,629,31824.29,2,0,7,Germany,Male,1,0
309,50,137104.47,614,127166.49,1,0,4,France,Male,1,1
310,31,78398.69,438,44937.01,1,0,8,Germany,Male,1,0
311,80,0,652,188603.07,2,1,4,France,Female,1,0
312,30,63669.42,729,145111.37,1,0,6,Germany,Male,1,0
313,38,0,642,171463.83,2,0,3,France,Male,0,0
314,59,135296.33,806,182822.5,1,0,0,Germany,Female,1,0
315,36,153804.44,744,87213.33,1,1,2,Spain,Male,1,0
316,37,0,474,57175.32,2,0,3,Spain,Male,0,0
317,49,147069.78,559,120540.83,1,0,2,France,Male,1,1
318,42,0,706,28714.34,2,1,9,Spain,Male,1,0
319,22,0,628,85426.28,1,0,3,Spain,Female,1,0
320,24,95741.75,429,46170.75,1,0,4,France,Male,1,0
321,57,145965.33,525,64448.36,1,1,2,Spain,Female,1,0
322,30,141441.75,680,16278.97,1,1,8,France,Female,1,0
323,40,139290.41,749,182855.42,1,0,1,France,Male,1,1
324,31,0,763,50404.72,2,0,4,France,Female,0,0
325,30,0,734,107640.25,2,0,3,France,Male,1,0
326,35,144428.87,716,134132.65,1,0,4,France,Male,1,0
327,35,0,594,103480.69,2,0,2,France,Male,1,0
328,46,95441.27,644,108761.05,1,0,9,France,Female,1,1
329,35,144848.74,671,179012.3,1,1,1,Germany,Male,1,0
330,26,116244.14,664,95145.14,2,1,7,Germany,Male,1,0
331,50,0,656,72143.44,2,1,7,France,Male,0,0
332,40,146502.07,667,19162.89,1,0,1,Spain,Female,1,0
333,44,117028.6,663,144680.18,2,1,2,Germany,Male,0,0
334,30,112013.81,584,177772.03,1,0,8,Germany,Female,1,1
335,37,108269.37,626,5597.94,1,0,6,Spain,Female,1,0
336,29,182123.79,485,116828.51,1,0,7,France,Male,1,1
337,32,150923.74,659,174652.51,2,1,3,Germany,Female,0,0
338,33,0,649,2010.98,2,0,2,France,Male,1,0
339,39,165272.13,805,14109.85,1,0,5,Spain,Female,1,1
340,39,115301.31,716,43527.4,1,0,10,Germany,Female,1,1
341,40,129502.49,642,86099.23,2,1,6,Germany,Female,0,1
342,31,118342.26,659,161574.19,1,0,4,France,Male,0,0
343,47,0,545,38970.14,2,1,5,Spain,Female,1,0
344,22,0,543,127587.22,2,0,8,France,Male,0,0
345,25,0,718,30380.12,2,0,7,France,Female,1,0
346,43,0,840,90908.95,2,0,7,France,Female,1,0
347,34,106937.05,630,138275.01,2,0,9,Germany,Female,1,0
348,59,170331.37,643,32171.79,1,1,3,Germany,Male,1,0
349,32,114510.85,654,126143.23,1,1,1,Germany,Female,1,0
350,39,0,582,129892.93,2,1,5,France,Male,1,0
351,32,107594.11,659,102416.84,2,1,3,Spain,Male,1,0
352,39,81273.13,762,18719.67,1,1,2,Spain,Male,1,0
353,32,169399.6,568,61936.22,1,0,7,Spain,Female,1,0
354,25,0,670,78358.94,2,1,6,Spain,Male,1,0
355,45,187841.99,613,147224.27,2,1,1,France,Female,1,0
356,30,0,539,160979.66,2,0,0,France,Male,1,0
357,57,126776.3,850,132298.49,2,1,8,Spain,Female,1,0
358,34,126436.29,522,174248.52,1,0,9,Spain,Male,1,1
359,41,101960.74,737,123547.28,1,1,1,France,Male,1,0
360,58,0,520,32790.02,2,1,3,France,Male,0,0
361,28,0,706,181543.67,2,1,3,Spain,Male,0,0
362,45,150842.93,643,2319.96,1,1,2,Germany,Female,0,1
363,50,102535.57,648,189543.19,1,1,9,France,Female,1,0
364,29,99027.61,443,10940.4,2,0,9,Germany,Female,1,0
365,68,0,640,199493.38,2,1,9,France,Male,1,0
366,33,0,628,188193.25,1,1,3,Spain,Female,1,0
367,42,87271.41,540,172572.64,2,0,9,Germany,Female,1,0
368,35,102742.91,460,189339.6,2,1,8,Germany,Female,1,0
369,34,40105.51,636,53512.16,2,1,2,Germany,Male,0,0
370,29,152265.43,593,34004.44,1,0,2,France,Female,1,0
371,42,141947.67,801,10598.29,1,1,4,Spain,Male,1,0
372,75,106307.91,640,113428.77,2,1,1,Germany,Female,0,0
373,31,107884.81,611,183487.98,2,1,0,Germany,Male,1,0
374,31,125013.72,802,187658.09,1,1,1,Germany,Male,1,0
375,35,58469.37,717,172459.39,2,1,7,Germany,Male,1,0
376,39,0,769,21016,1,1,8,France,Female,0,0
377,45,117231.63,745,122381.02,3,1,10,Germany,Male,1,1
378,35,152390.26,572,128123.66,1,0,4,Spain,Male,1,0
379,30,34013.63,629,19570.63,1,0,2,Spain,Female,1,0
380,39,0,687,188150.6,3,0,2,Spain,Female,0,1
381,50,0,483,111020.24,2,1,9,France,Female,1,0
382,36,101583.11,690,123775.15,2,0,7,France,Male,1,0
383,30,77168.87,492,146700.22,2,1,10,Germany,Female,0,0
384,28,124695.72,709,145251.35,2,0,8,Germany,Male,1,0
385,44,105934.96,705,82463.69,1,0,3,Germany,Male,1,0
386,66,0,560,15928.49,1,1,9,France,Female,1,0
387,46,0,611,45886.33,2,0,6,Spain,Male,1,0
388,62,0,730,186489.95,2,1,2,Spain,Male,1,0
389,45,0,709,162922.65,2,1,2,Spain,Female,0,0
390,21,161525.96,544,9262.77,2,0,10,France,Female,1,0
391,29,147199.07,712,84932.4,1,1,7,Germany,Female,1,0
392,38,183102.29,752,71557.12,1,1,3,Germany,Male,1,0
393,46,127209,648,77405.95,2,0,9,Spain,Male,1,1
394,38,0,556,417.41,2,0,8,Spain,Male,0,1
395,24,97378.54,594,71405.17,1,1,0,Spain,Female,1,0
396,37,136925.09,645,153400.24,2,1,2,Germany,Female,0,0
397,33,54503.55,557,371.05,1,1,3,France,Male,1,0
398,32,155726.85,547,67789.99,1,0,8,Germany,Male,1,0
399,39,0,701,145894.9,2,1,9,France,Female,0,0
400,66,135842.41,616,183840.51,1,0,1,France,Female,1,1
401,52,63349.75,605,108887.44,1,0,1,France,Male,1,0
402,38,129499.42,593,154071.27,1,1,4,Germany,Female,1,0
403,52,0,751,179291.85,2,1,8,Spain,Male,0,0
404,36,70438.01,443,56937.43,2,1,6,Spain,Male,0,0
405,23,0,685,112239.03,2,1,8,France,Male,1,0
406,36,0,718,45909.87,1,0,9,France,Male,1,0
407,49,141434.04,538,173779.25,1,0,9,Spain,Female,0,1
408,37,0,611,125696.26,2,0,4,Spain,Female,1,0
409,37,152958.29,668,159585.61,2,1,10,Germany,Male,1,0
410,41,138306.34,537,106761.47,1,0,3,Germany,Female,1,0
411,23,0,709,129590.18,2,0,10,Spain,Male,0,0
412,38,0,850,80006.65,2,1,1,France,Male,1,0
413,31,124328.84,745,140451.52,1,1,3,Spain,Female,1,0
414,41,181461.48,693,187929.43,3,1,9,Germany,Female,1,1
415,35,0,795,167155.36,2,0,8,Spain,Male,1,0
416,26,0,626,191420.71,2,0,8,Spain,Male,0,0
417,61,110368.03,487,11384.45,1,0,5,Germany,Female,0,1
418,39,89588.35,556,94898.1,1,1,9,France,Female,1,0
419,46,0,643,106781.59,2,0,6,France,Female,0,0
420,28,0,605,159508.52,2,0,6,France,Female,0,0
421,60,115924.89,756,93524.19,1,0,3,Germany,Female,1,1
422,38,0,586,87168.46,2,0,2,France,Female,1,0
423,40,111756.5,535,8128.32,1,0,7,Germany,Male,1,1
424,35,0,678,125518.32,1,0,4,France,Female,1,0
425,39,0,596,48963.59,1,0,9,France,Male,1,0
426,26,162923.85,648,98368.24,1,0,9,France,Male,1,0
427,39,124576.65,492,148584.61,2,0,10,Germany,Male,1,0
428,45,80793.58,702,27474.81,1,1,0,France,Male,1,0
429,40,71340.09,486,76192.21,1,0,9,Germany,Female,1,0
430,40,99282.63,568,134600.94,1,0,1,Germany,Male,0,1
431,57,137946.39,619,72467.99,1,1,3,Germany,Male,1,1
432,41,127892.57,724,199645.45,2,1,2,Germany,Male,0,0
433,33,101084.36,548,42749.85,1,0,0,Germany,Female,1,0
434,37,114754.08,545,136050.44,1,0,8,Germany,Female,1,1
435,33,0,683,73564.44,1,0,8,France,Male,0,0
436,51,99286.98,762,85578.63,1,1,3,France,Female,0,0
437,30,79871.02,627,129826.89,2,0,4,Germany,Female,1,0
438,35,104088.59,516,119666,2,0,10,France,Male,0,0
439,38,168190.33,800,68052.08,2,0,2,France,Female,1,0
440,42,85679.25,464,164104.74,1,1,3,Germany,Female,1,0
441,35,0,626,80190.36,1,0,3,France,Female,0,0
442,31,0,790,84126.75,2,0,9,France,Female,1,0
443,34,121551.58,534,70179,2,1,7,France,Female,1,0
444,46,122220.19,745,118024.1,1,1,2,France,Male,1,0
445,47,116528.15,553,145704.19,1,0,3,Spain,Male,0,1
446,26,77780.29,748,183049.41,1,1,1,France,Female,0,0
447,37,0,722,120906.83,1,0,2,France,Male,0,0
448,40,125832.2,501,100433.83,1,1,4,France,Male,1,0
