poutcome,job,marital,education,default,housing,loan,contact,day,month,campaign,duration,pdays,previous,age,balance,y
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,365,-1,0,25,-7,no
unknown,technician,married,secondary,no,no,no,unknown,5,may,1,1666,-1,0,53,-3,no
unknown,admin.,divorced,secondary,no,yes,no,unknown,5,may,1,577,-1,0,36,506,no
unknown,admin.,single,secondary,no,yes,no,unknown,5,may,1,137,-1,0,37,0,no
unknown,services,divorced,secondary,no,yes,no,unknown,5,may,1,160,-1,0,44,2586,no
unknown,management,married,secondary,no,yes,no,unknown,5,may,2,180,-1,0,50,49,no
unknown,blue-collar,married,unknown,no,yes,no,unknown,5,may,1,22,-1,0,60,104,no
unknown,retired,married,secondary,no,yes,no,unknown,5,may,1,1492,-1,0,54,529,no
unknown,retired,married,unknown,no,yes,no,unknown,5,may,1,616,-1,0,58,96,no
unknown,admin.,single,primary,no,yes,no,unknown,5,may,1,242,-1,0,36,-171,no
unknown,self-employed,married,tertiary,no,yes,no,unknown,5,may,1,355,-1,0,58,-364,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,2,225,-1,0,44,0,no
unknown,technician,divorced,secondary,no,no,no,unknown,5,may,1,160,-1,0,55,0,no
unknown,management,single,tertiary,no,yes,no,unknown,5,may,1,363,-1,0,29,0,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,266,-1,0,54,1291,no
unknown,management,divorced,tertiary,no,yes,no,unknown,5,may,1,253,-1,0,48,-244,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,1,179,-1,0,32,0,no
unknown,admin.,single,secondary,no,yes,no,unknown,5,may,1,787,-1,0,42,-76,no
unknown,technician,single,secondary,no,yes,yes,unknown,5,may,1,145,-1,0,24,-103,no
unknown,entrepreneur,single,tertiary,no,no,yes,unknown,5,may,1,174,-1,0,38,243,no
unknown,management,single,tertiary,no,yes,no,unknown,5,may,1,104,-1,0,38,424,no
unknown,blue-collar,married,unknown,no,yes,no,unknown,5,may,1,13,-1,0,47,306,no
unknown,blue-collar,single,unknown,no,yes,no,unknown,5,may,1,185,-1,0,40,24,no
unknown,services,married,primary,no,yes,no,unknown,5,may,1,1778,-1,0,46,179,no
unknown,admin.,married,tertiary,no,yes,no,unknown,5,may,1,138,-1,0,32,0,no
unknown,technician,divorced,secondary,no,yes,no,unknown,5,may,1,812,-1,0,53,989,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,1,164,-1,0,57,249,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,1,391,-1,0,33,790,no
unknown,blue-collar,married,unknown,no,yes,no,unknown,5,may,1,357,-1,0,49,154,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,1,91,-1,0,51,6530,no
unknown,retired,married,tertiary,no,no,no,unknown,5,may,1,528,-1,0,60,100,no
unknown,management,divorced,tertiary,no,yes,no,unknown,5,may,1,273,-1,0,59,59,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,2,158,-1,0,55,1205,no
unknown,blue-collar,single,secondary,no,yes,yes,unknown,5,may,1,177,-1,0,35,12223,no
unknown,blue-collar,married,secondary,no,yes,yes,unknown,5,may,1,258,-1,0,57,5935,no
unknown,services,married,secondary,no,yes,yes,unknown,5,may,1,172,-1,0,31,25,no
unknown,management,married,secondary,no,yes,yes,unknown,5,may,1,154,-1,0,54,282,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,1,291,-1,0,55,23,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,1,181,-1,0,43,1937,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,1,176,-1,0,53,384,no
unknown,blue-collar,married,secondary,no,no,yes,unknown,5,may,1,211,-1,0,44,582,no
unknown,services,divorced,secondary,no,no,no,unknown,5,may,1,349,-1,0,55,91,no
unknown,services,divorced,secondary,no,yes,yes,unknown,5,may,1,272,-1,0,49,0,no
unknown,services,divorced,secondary,yes,yes,no,unknown,5,may,1,208,-1,0,55,1,no
unknown,admin.,single,secondary,no,yes,no,unknown,5,may,1,193,-1,0,45,206,no
unknown,services,divorced,secondary,no,no,no,unknown,5,may,1,212,-1,0,47,164,no
unknown,technician,single,secondary,no,yes,no,unknown,5,may,1,20,-1,0,42,690,no
unknown,admin.,married,secondary,no,yes,no,unknown,5,may,1,1042,-1,0,59,2343,yes
unknown,self-employed,married,tertiary,no,yes,yes,unknown,5,may,1,246,-1,0,46,137,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,2,529,-1,0,51,173,no
unknown,admin.,married,secondary,no,no,no,unknown,5,may,1,1467,-1,0,56,45,yes
unknown,technician,married,secondary,no,yes,no,unknown,5,may,1,1389,-1,0,41,1270,yes
unknown,management,divorced,secondary,no,yes,yes,unknown,5,may,2,188,-1,0,46,16,no
unknown,retired,married,secondary,no,yes,no,unknown,5,may,2,180,-1,0,57,486,no
unknown,management,single,secondary,no,no,no,unknown,5,may,1,48,-1,0,42,50,no
unknown,technician,married,secondary,no,yes,yes,unknown,5,may,2,213,-1,0,30,152,no
unknown,admin.,married,secondary,no,yes,no,unknown,5,may,1,583,-1,0,60,290,no
unknown,blue-collar,married,unknown,no,yes,no,unknown,5,may,1,221,-1,0,60,54,no
unknown,entrepreneur,divorced,secondary,no,no,no,unknown,5,may,1,173,-1,0,57,-37,no
unknown,management,married,tertiary,no,yes,yes,unknown,5,may,1,426,-1,0,36,101,no
unknown,blue-collar,married,secondary,no,no,no,unknown,5,may,1,287,-1,0,55,383,no
unknown,retired,married,tertiary,no,yes,no,unknown,5,may,1,101,-1,0,60,81,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,1,203,-1,0,39,0,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,1,197,-1,0,46,229,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,257,-1,0,44,-674,no
unknown,blue-collar,married,primary,no,no,no,unknown,5,may,1,124,-1,0,53,90,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,1,229,-1,0,52,128,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,3,55,-1,0,59,179,no
unknown,technician,single,tertiary,no,yes,no,unknown,5,may,1,400,-1,0,27,0,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,197,-1,0,44,54,no
unknown,technician,married,tertiary,no,yes,no,unknown,5,may,1,190,-1,0,47,151,no
unknown,admin.,married,secondary,no,no,yes,unknown,5,may,1,21,-1,0,34,61,no
unknown,retired,single,secondary,no,yes,no,unknown,5,may,1,514,-1,0,59,30,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,2,849,-1,0,45,523,no
unknown,services,divorced,secondary,no,yes,no,unknown,5,may,1,194,-1,0,29,31,no
unknown,technician,divorced,secondary,no,no,no,unknown,5,may,1,144,-1,0,46,79,no
unknown,self-employed,married,primary,no,yes,yes,unknown,5,may,2,212,-1,0,56,-34,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,1,286,-1,0,36,448,no
unknown,retired,divorced,primary,no,yes,no,unknown,5,may,1,107,-1,0,59,81,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,2,247,-1,0,44,144,no
unknown,admin.,married,secondary,no,yes,no,unknown,5,may,1,518,-1,0,41,351,no
unknown,management,single,tertiary,no,yes,no,unknown,5,may,1,364,-1,0,33,-67,no
unknown,management,divorced,tertiary,no,no,no,unknown,5,may,1,178,-1,0,59,262,no
unknown,technician,married,primary,no,no,no,unknown,5,may,1,98,-1,0,57,0,no
unknown,technician,divorced,unknown,no,yes,no,unknown,5,may,1,439,-1,0,56,56,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,79,-1,0,51,26,no
unknown,admin.,married,unknown,no,yes,no,unknown,5,may,3,120,-1,0,34,3,no
unknown,services,married,secondary,no,yes,yes,unknown,5,may,2,127,-1,0,43,41,no
unknown,technician,married,tertiary,no,no,yes,unknown,5,may,1,175,-1,0,52,7,no
unknown,technician,single,secondary,no,yes,no,unknown,5,may,2,262,-1,0,33,105,no
unknown,admin.,single,secondary,no,yes,yes,unknown,5,may,1,61,-1,0,29,818,no
unknown,services,married,secondary,no,yes,yes,unknown,5,may,1,78,-1,0,34,-16,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,143,-1,0,31,0,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,1,579,-1,0,55,2476,yes
unknown,management,married,unknown,no,no,no,unknown,5,may,1,677,-1,0,55,1185,no
unknown,admin.,single,secondary,no,yes,no,unknown,5,may,1,345,-1,0,32,217,no
unknown,technician,single,secondary,no,yes,no,unknown,5,may,1,185,-1,0,38,1685,no
unknown,admin.,single,secondary,no,yes,yes,unknown,5,may,2,100,-1,0,55,802,no
unknown,unemployed,single,tertiary,no,yes,no,unknown,5,may,2,125,-1,0,28,0,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,193,-1,0,23,94,no
unknown,technician,single,secondary,no,yes,no,unknown,5,may,1,136,-1,0,32,0,no
unknown,services,single,unknown,no,no,no,unknown,5,may,1,73,-1,0,43,0,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,528,-1,0,32,517,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,541,-1,0,46,265,no
unknown,housemaid,divorced,primary,no,yes,no,unknown,5,may,1,163,-1,0,53,947,no
unknown,self-employed,single,secondary,no,yes,no,unknown,5,may,1,301,-1,0,34,3,no
unknown,unemployed,married,tertiary,no,no,no,unknown,5,may,1,46,-1,0,57,42,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,204,-1,0,37,37,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,98,-1,0,59,57,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,1,71,-1,0,33,22,no
unknown,blue-collar,divorced,primary,no,yes,no,unknown,5,may,2,157,-1,0,56,8,no
unknown,unemployed,married,secondary,no,yes,no,unknown,5,may,1,243,-1,0,48,293,no
unknown,services,married,primary,no,yes,no,unknown,5,may,2,186,-1,0,43,3,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,2,579,-1,0,54,348,no
unknown,blue-collar,married,unknown,no,yes,no,unknown,5,may,2,163,-1,0,51,-19,no
unknown,student,single,secondary,no,yes,no,unknown,5,may,2,610,-1,0,26,0,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,1,2033,-1,0,40,-4,no
unknown,management,married,secondary,no,yes,no,unknown,5,may,1,85,-1,0,39,18,no
unknown,technician,married,primary,no,no,no,unknown,5,may,2,114,-1,0,50,139,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,2,114,-1,0,41,0,no
unknown,blue-collar,married,unknown,no,yes,no,unknown,5,may,1,57,-1,0,51,1883,no
unknown,retired,divorced,secondary,no,yes,no,unknown,5,may,1,238,-1,0,60,216,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,3,93,-1,0,52,782,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,2,128,-1,0,48,904,no
unknown,services,married,unknown,no,yes,no,unknown,5,may,1,107,-1,0,48,1705,no
unknown,technician,single,tertiary,no,yes,no,unknown,5,may,1,181,-1,0,39,47,no
unknown,services,single,secondary,no,yes,no,unknown,5,may,2,303,-1,0,47,176,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,5,558,-1,0,40,1225,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,1,270,-1,0,45,86,no
unknown,admin.,single,secondary,no,yes,no,unknown,5,may,1,228,-1,0,26,82,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,1,99,-1,0,52,271,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,1,240,-1,0,54,1378,no
unknown,admin.,married,tertiary,no,no,no,unknown,5,may,2,673,-1,0,54,184,yes
unknown,blue-collar,married,primary,no,no,no,unknown,5,may,3,233,-1,0,50,0,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,1056,-1,0,35,0,no
unknown,services,married,secondary,no,yes,yes,unknown,5,may,1,250,-1,0,44,1357,no
unknown,entrepreneur,married,unknown,no,yes,no,unknown,5,may,1,252,-1,0,53,19,no
unknown,retired,single,primary,no,no,no,unknown,5,may,1,138,-1,0,35,434,no
unknown,admin.,divorced,secondary,no,yes,no,unknown,5,may,1,130,-1,0,60,92,no
unknown,admin.,divorced,secondary,no,yes,no,unknown,5,may,1,412,-1,0,53,1151,no
unknown,unemployed,married,secondary,no,yes,no,unknown,5,may,2,179,-1,0,48,41,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,2,19,-1,0,34,51,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,2,458,-1,0,54,214,no
unknown,management,married,secondary,no,yes,no,unknown,5,may,1,717,-1,0,51,1161,no
unknown,services,married,tertiary,no,yes,no,unknown,5,may,1,313,-1,0,31,37,no
unknown,technician,divorced,secondary,no,yes,no,unknown,5,may,2,683,-1,0,35,787,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,1,1077,-1,0,35,59,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,1,416,-1,0,38,253,no
unknown,admin.,married,tertiary,no,yes,no,unknown,5,may,2,146,-1,0,36,211,no
unknown,retired,married,primary,no,yes,no,unknown,5,may,1,167,-1,0,58,235,no
unknown,services,divorced,unknown,no,yes,no,unknown,5,may,1,315,-1,0,40,4384,no
unknown,management,married,secondary,no,no,no,unknown,5,may,1,140,-1,0,54,4080,no
unknown,blue-collar,single,secondary,no,yes,yes,unknown,5,may,1,346,-1,0,34,53,no
unknown,management,single,tertiary,no,yes,no,unknown,5,may,1,562,-1,0,31,0,no
unknown,retired,married,secondary,no,yes,no,unknown,5,may,1,172,-1,0,51,2127,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,1,217,-1,0,33,377,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,2,142,-1,0,55,73,no
unknown,admin.,married,secondary,no,yes,no,unknown,5,may,1,67,-1,0,42,445,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,291,-1,0,34,243,no
unknown,blue-collar,single,secondary,no,yes,no,unknown,5,may,2,309,-1,0,33,307,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,1,248,-1,0,38,155,no
unknown,technician,divorced,tertiary,no,no,yes,unknown,5,may,1,98,-1,0,50,173,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,1,256,-1,0,43,400,no
unknown,blue-collar,divorced,primary,no,yes,no,unknown,5,may,2,82,-1,0,61,1428,no
unknown,admin.,married,secondary,no,yes,no,unknown,5,may,1,577,-1,0,47,219,no
unknown,self-employed,married,tertiary,no,yes,no,unknown,5,may,1,286,-1,0,48,7,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,477,-1,0,44,575,no
unknown,student,single,unknown,no,yes,no,unknown,5,may,2,611,-1,0,35,298,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,1,471,-1,0,35,0,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,2,381,-1,0,50,5699,no
unknown,management,married,tertiary,no,yes,yes,unknown,5,may,1,42,-1,0,41,176,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,1,251,-1,0,41,517,no
unknown,services,single,unknown,no,yes,no,unknown,5,may,1,408,-1,0,39,257,no
unknown,retired,married,secondary,no,yes,no,unknown,5,may,1,215,-1,0,42,56,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,287,-1,0,38,-390,no
unknown,retired,married,secondary,no,yes,no,unknown,5,may,2,216,-1,0,53,330,no
unknown,housemaid,divorced,primary,no,no,no,unknown,5,may,2,366,-1,0,59,195,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,1,210,-1,0,36,301,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,1,288,-1,0,54,-41,no
unknown,technician,married,tertiary,no,yes,no,unknown,5,may,1,168,-1,0,40,483,no
unknown,unknown,married,unknown,no,no,no,unknown,5,may,2,338,-1,0,47,28,no
unknown,unemployed,married,unknown,no,no,no,unknown,5,may,3,410,-1,0,53,13,no
unknown,housemaid,married,primary,no,no,no,unknown,5,may,1,177,-1,0,46,965,no
unknown,management,married,tertiary,no,yes,yes,unknown,5,may,2,127,-1,0,39,378,no
unknown,unemployed,married,secondary,no,yes,no,unknown,5,may,1,357,-1,0,40,219,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,1,175,-1,0,28,324,no
unknown,entrepreneur,divorced,secondary,no,yes,no,unknown,5,may,1,300,-1,0,35,-69,no
unknown,retired,married,secondary,no,no,yes,unknown,5,may,1,136,-1,0,55,0,no
unknown,technician,divorced,unknown,no,yes,no,unknown,5,may,1,1419,-1,0,43,205,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,2,125,-1,0,48,278,no
unknown,management,married,unknown,no,yes,no,unknown,5,may,3,213,-1,0,58,1065,no
unknown,management,single,tertiary,no,yes,no,unknown,5,may,1,27,-1,0,33,34,no
unknown,blue-collar,married,unknown,no,no,no,unknown,5,may,2,238,-1,0,36,1033,no
unknown,services,divorced,secondary,no,yes,no,unknown,5,may,1,124,-1,0,53,1467,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,1,18,-1,0,47,-12,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,2,730,-1,0,31,388,no
unknown,entrepreneur,married,secondary,no,yes,no,unknown,5,may,2,746,-1,0,57,294,no
unknown,blue-collar,married,unknown,no,no,no,unknown,5,may,1,121,-1,0,53,1827,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,1,247,-1,0,55,627,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,1,40,-1,0,45,25,no
unknown,admin.,divorced,secondary,no,yes,no,unknown,5,may,2,181,-1,0,53,315,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,1,79,-1,0,37,0,no
unknown,admin.,divorced,secondary,no,yes,no,unknown,5,may,1,206,-1,0,44,66,no
unknown,blue-collar,divorced,primary,no,yes,yes,unknown,5,may,1,389,-1,0,49,-9,no
unknown,technician,married,secondary,no,yes,yes,unknown,5,may,1,127,-1,0,46,349,no
unknown,entrepreneur,married,unknown,no,yes,no,unknown,5,may,1,702,-1,0,43,100,no
unknown,admin.,married,secondary,no,no,no,unknown,5,may,1,151,-1,0,38,0,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,1,117,-1,0,43,434,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,3,232,-1,0,49,3237,no
unknown,management,married,unknown,no,no,no,unknown,5,may,2,408,-1,0,42,275,no
unknown,blue-collar,single,secondary,no,yes,no,unknown,5,may,2,179,-1,0,22,0,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,1,39,-1,0,40,207,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,282,-1,0,39,483,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,2,714,-1,0,51,2248,no
unknown,admin.,married,secondary,no,yes,no,unknown,5,may,1,50,-1,0,49,428,no
unknown,blue-collar,married,secondary,no,yes,yes,unknown,5,may,1,181,-1,0,53,0,no
unknown,services,single,secondary,no,yes,no,unknown,5,may,1,142,-1,0,34,0,no
unknown,technician,divorced,secondary,no,yes,no,unknown,5,may,1,227,-1,0,33,140,no
unknown,management,single,tertiary,no,yes,no,unknown,5,may,1,119,-1,0,50,297,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,1,361,-1,0,39,279,no
unknown,entrepreneur,divorced,secondary,no,yes,no,unknown,5,may,3,73,-1,0,59,901,no
unknown,technician,single,secondary,no,yes,no,unknown,5,may,2,67,-1,0,30,2573,no
unknown,services,married,secondary,no,yes,yes,unknown,5,may,1,350,-1,0,36,143,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,2,332,-1,0,40,475,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,2,611,-1,0,53,70,no
unknown,management,single,tertiary,no,yes,no,unknown,5,may,2,113,-1,0,34,318,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,1,132,-1,0,37,275,no
unknown,management,divorced,tertiary,no,yes,no,unknown,5,may,3,58,-1,0,42,742,no
unknown,entrepreneur,married,primary,no,yes,no,unknown,5,may,1,151,-1,0,41,236,no
unknown,student,single,tertiary,no,yes,no,unknown,5,may,2,89,-1,0,30,25,no
unknown,management,single,tertiary,no,yes,no,unknown,5,may,1,152,-1,0,37,600,no
unknown,admin.,divorced,secondary,no,yes,no,unknown,5,may,2,611,-1,0,39,-349,no
unknown,blue-collar,married,primary,no,yes,yes,unknown,5,may,2,110,-1,0,41,183,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,1,463,-1,0,40,0,no
unknown,management,single,tertiary,no,yes,yes,unknown,5,may,2,562,-1,0,42,0,yes
unknown,blue-collar,divorced,primary,no,yes,no,unknown,5,may,1,962,-1,0,40,0,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,4,10,-1,0,57,1078,no
unknown,entrepreneur,divorced,secondary,no,no,no,unknown,5,may,3,118,-1,0,56,155,no
unknown,admin.,married,secondary,no,yes,no,unknown,5,may,2,92,-1,0,37,190,no
unknown,retired,married,secondary,no,yes,no,unknown,5,may,3,143,-1,0,59,319,no
unknown,services,divorced,secondary,no,yes,no,unknown,5,may,3,189,-1,0,39,-185,no
unknown,services,married,secondary,no,no,no,unknown,5,may,2,234,-1,0,49,47,no
unknown,services,single,secondary,no,yes,no,unknown,5,may,2,75,-1,0,38,570,no
unknown,self-employed,married,tertiary,no,no,no,unknown,5,may,2,189,-1,0,36,19,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,3,621,-1,0,50,61,no
unknown,admin.,married,secondary,no,yes,yes,unknown,5,may,2,55,-1,0,41,-62,no
unknown,technician,married,tertiary,no,no,no,unknown,5,may,4,310,-1,0,54,258,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,2,156,-1,0,58,76,no
unknown,blue-collar,single,secondary,no,yes,no,unknown,5,may,2,5,-1,0,30,0,no
unknown,admin.,single,secondary,no,yes,no,unknown,5,may,2,225,-1,0,33,352,no
unknown,admin.,married,secondary,no,yes,no,unknown,5,may,2,125,-1,0,47,368,no
unknown,technician,single,tertiary,no,yes,no,unknown,5,may,3,2,-1,0,50,339,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,2,286,-1,0,32,1331,no
unknown,self-employed,married,secondary,no,yes,no,unknown,5,may,2,164,-1,0,40,672,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,2,98,-1,0,37,58,no
unknown,technician,single,unknown,no,yes,no,unknown,5,may,2,742,-1,0,54,447,no
unknown,student,single,secondary,no,yes,no,unknown,5,may,3,226,-1,0,24,423,no
unknown,management,married,tertiary,no,no,no,unknown,5,may,2,120,-1,0,54,0,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,4,362,-1,0,34,19,no
unknown,technician,divorced,primary,no,yes,no,unknown,5,may,2,357,-1,0,56,13,no
unknown,blue-collar,single,secondary,no,yes,no,unknown,5,may,2,200,-1,0,31,3,no
unknown,student,single,secondary,no,yes,no,unknown,5,may,2,204,-1,0,24,82,no
unknown,blue-collar,divorced,primary,no,yes,no,unknown,5,may,3,126,-1,0,42,28,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,2,65,-1,0,57,792,no
unknown,blue-collar,married,unknown,no,yes,no,unknown,5,may,2,107,-1,0,42,408,no
unknown,admin.,married,secondary,no,yes,no,unknown,5,may,2,267,-1,0,51,531,no
unknown,retired,married,secondary,no,yes,no,unknown,5,may,2,248,-1,0,57,211,no
unknown,services,single,secondary,no,yes,no,unknown,5,may,2,215,-1,0,36,62,no
unknown,services,married,unknown,no,yes,no,unknown,5,may,2,209,-1,0,53,257,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,2,205,-1,0,50,1234,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,2,83,-1,0,54,313,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,3,106,-1,0,55,89,no
unknown,blue-collar,married,secondary,no,yes,yes,unknown,5,may,2,189,-1,0,44,129,no
unknown,management,married,unknown,no,yes,no,unknown,5,may,2,105,-1,0,43,0,no
unknown,admin.,married,secondary,no,yes,no,unknown,5,may,2,106,-1,0,56,353,no
unknown,technician,married,unknown,no,yes,no,unknown,5,may,2,108,-1,0,54,851,no
unknown,services,divorced,primary,no,yes,yes,unknown,5,may,2,311,-1,0,55,96,no
