 sex, workclass, race, education, native-country, marital-status, occupation, relationship, education-num, fnlwgt, capital-gain, capital-loss, hours-per-week,age, income
 Male, Self-emp-not-inc, White, Assoc-acdm, United-States, Married-civ-spouse, Prof-specialty, Husband,12,265477,0,0,40,48, <=50K
 Male, Private, White, 9th, United-States, Married-civ-spouse, Machine-op-inspct, Husband,5,507875,0,0,43,31, <=50K
 Male, Self-emp-not-inc, White, Bachelors, United-States, Married-civ-spouse, Prof-specialty, Husband,13,88506,0,0,40,53, <=50K
 Male, Private, White, Bachelors, United-States, Married-civ-spouse, Tech-support, Husband,13,172987,0,0,50,24, <=50K
 Female, Private, White, HS-grad, United-States, Separated, Adm-clerical, Unmarried,9,94638,0,0,40,49, <=50K
 Male, Private, White, HS-grad, United-States, Never-married, Handlers-cleaners, Not-in-family,9,289980,0,0,35,25, <=50K
 Male, Federal-gov, Black, Bachelors, United-States, Married-civ-spouse, Prof-specialty, Husband,13,337895,0,0,40,57, >50K
 Male, Private, White, HS-grad, United-States, Married-civ-spouse, Machine-op-inspct, Husband,9,144361,0,0,38,53, <=50K
 Female, Private, White, Masters, United-States, Divorced, Exec-managerial, Unmarried,14,128354,0,0,40,44, <=50K
 Male, State-gov, White, Assoc-voc, United-States, Married-civ-spouse, Craft-repair, Husband,11,101603,0,0,40,41, <=50K
 Male, Private, White, Assoc-voc, United-States, Never-married, Prof-specialty, Not-in-family,11,271466,0,0,43,29, <=50K
 Female, Private, Other, Some-college, United-States, Married-civ-spouse, Exec-managerial, Wife,10,32275,0,0,40,25, <=50K
 Female, Private, White, HS-grad, ?, Never-married, Other-service, Own-child,9,226956,0,0,30,18, <=50K
 Female, Private, White, Prof-school, Honduras, Married-civ-spouse, Prof-specialty, Wife,15,51835,0,1902,60,47, >50K
 Male, Federal-gov, White, Bachelors, United-States, Divorced, Exec-managerial, Not-in-family,13,251585,0,0,55,50, >50K
 Male, Self-emp-inc, White, HS-grad, United-States, Divorced, Exec-managerial, Not-in-family,9,109832,0,0,60,47, <=50K
 Male, Private, White, Some-college, United-States, Married-civ-spouse, Tech-support, Husband,10,237993,0,0,40,43, >50K
 Male, Private, White, 5th-6th, Mexico, Married-civ-spouse, Machine-op-inspct, Husband,3,216666,0,0,40,46, <=50K
 Male, Private, White, Assoc-voc, Puerto-Rico, Married-civ-spouse, Other-service, Husband,11,56352,0,0,40,35, <=50K
 Male, Private, White, HS-grad, United-States, Married-civ-spouse, Adm-clerical, Husband,9,147372,0,0,48,41, <=50K
 Male, Private, White, HS-grad, United-States, Married-civ-spouse, Machine-op-inspct, Husband,9,188146,5013,0,40,30, <=50K
 Male, Private, White, Bachelors, United-States, Married-civ-spouse, Sales, Husband,13,59496,2407,0,40,30, <=50K
 Male, ?, White, 7th-8th, ?, Married-spouse-absent, ?, Not-in-family,4,293936,0,0,40,32, <=50K
 Male, Private, White, HS-grad, United-States, Married-civ-spouse, Transport-moving, Husband,9,149640,0,0,40,48, <=50K
 Male, Private, White, Doctorate, United-States, Married-civ-spouse, Prof-specialty, Husband,16,116632,0,0,45,42, >50K
 Male, Private, White, Some-college, United-States, Divorced, Tech-support, Not-in-family,10,105598,0,0,58,29, <=50K
 Male, Private, White, HS-grad, United-States, Married-civ-spouse, Craft-repair, Husband,9,155537,0,0,40,36, <=50K
 Female, Private, White, Some-college, United-States, Divorced, Adm-clerical, Not-in-family,10,183175,0,0,40,28, <=50K
 Female, Private, White, HS-grad, United-States, Married-civ-spouse, Adm-clerical, Wife,9,169846,0,0,40,53, >50K
 Male, Self-emp-inc, White, Some-college, United-States, Married-civ-spouse, Exec-managerial, Husband,10,191681,0,0,50,49, >50K
 Male, ?, White, Some-college, United-States, Never-married, ?, Own-child,10,200681,0,0,40,25, <=50K
 Male, Private, White, Some-college, United-States, Never-married, Prof-specialty, Own-child,10,101509,0,0,32,19, <=50K
 Female, Private, Black, Bachelors, United-States, Separated, Sales, Own-child,13,309974,0,0,40,31, <=50K
 Male, Self-emp-not-inc, White, Bachelors, United-States, Married-civ-spouse, Sales, Husband,13,162298,0,0,70,29, >50K
 Male, Private, White, Some-college, United-States, Never-married, Machine-op-inspct, Not-in-family,10,211678,0,0,40,23, <=50K
 Male, Private, White, Some-college, United-States, Married-civ-spouse, Prof-specialty, Other-relative,10,124744,0,0,20,79, <=50K
 Male, Private, White, HS-grad, Mexico, Never-married, Other-service, Own-child,9,213921,0,0,40,27, <=50K
 Male, Private, White, Assoc-acdm, United-States, Married-civ-spouse, Adm-clerical, Husband,12,32214,0,0,40,40, <=50K
 Male, ?, White, 10th, United-States, Married-civ-spouse, ?, Husband,6,212759,0,0,2,67, <=50K
 Female, Private, White, 11th, United-States, Never-married, Other-service, Own-child,7,309634,0,0,22,18, <=50K
 Male, Local-gov, White, 7th-8th, United-States, Married-civ-spouse, Farming-fishing, Husband,4,125927,0,0,40,31, <=50K
 Male, Private, White, HS-grad, United-States, Never-married, Sales, Not-in-family,9,446839,0,0,30,18, <=50K
 Male, Private, White, Bachelors, Cuba, Married-civ-spouse, Other-service, Husband,13,276515,0,0,40,52, <=50K
 Female, Private, White, HS-grad, United-States, Married-civ-spouse, Other-service, Wife,9,51618,0,0,40,46, <=50K
 Male, Private, White, HS-grad, United-States, Married-civ-spouse, Sales, Husband,9,159937,0,0,48,59, <=50K
 Female, Private, White, HS-grad, United-States, Divorced, Craft-repair, Not-in-family,9,343591,14344,0,40,44, >50K
 Female, Private, White, HS-grad, United-States, Divorced, Sales, Own-child,9,346253,0,0,35,53, <=50K
 Male, Local-gov, White, HS-grad, United-States, Married-civ-spouse, Protective-serv, Husband,9,268234,0,0,40,49, >50K
 Male, Private, White, Masters, United-States, Married-civ-spouse, Prof-specialty, Husband,14,202051,0,0,50,33, <=50K
 Male, Private, White, 9th, United-States, Never-married, Sales, Not-in-family,5,54334,0,0,40,30, <=50K
 Female, Federal-gov, White, Doctorate, United-States, Never-married, Prof-specialty, Not-in-family,16,410867,0,0,50,43, >50K
 Male, Private, White, Assoc-voc, United-States, Married-civ-spouse, Prof-specialty, Husband,11,249977,0,0,40,57, <=50K
 Female, Private, White, Some-college, United-States, Divorced, Craft-repair, Unmarried,10,286730,0,0,40,37, <=50K
 Female, Private, Black, Some-college, United-States, Divorced, Machine-op-inspct, Unmarried,10,212563,0,0,25,28, <=50K
 Female, Private, Asian-Pac-Islander, HS-grad, ?, Married-civ-spouse, Sales, Wife,9,117747,0,1573,35,30, <=50K
 Male, Local-gov, White, Bachelors, United-States, Married-civ-spouse, Protective-serv, Husband,13,226296,0,0,40,34, >50K
 Male, Local-gov, White, Some-college, United-States, Never-married, Handlers-cleaners, Not-in-family,10,115585,0,0,50,29, <=50K
 Male, Self-emp-not-inc, White, Doctorate, United-States, Married-civ-spouse, Prof-specialty, Husband,16,191277,0,1902,60,48, >50K
 Male, Private, White, Some-college, United-States, Married-civ-spouse, Sales, Husband,10,202683,0,0,48,37, >50K
 Female, Private, White, Assoc-acdm, England, Divorced, Exec-managerial, Unmarried,12,171095,0,0,40,48, <=50K
 Male, Federal-gov, Black, HS-grad, United-States, Never-married, Other-service, Own-child,9,249409,0,0,40,32, <=50K
 Male, Private, White, Masters, United-States, Married-civ-spouse, Exec-managerial, Husband,14,124191,0,0,40,76, >50K
 Male, Private, White, Bachelors, United-States, Married-civ-spouse, Exec-managerial, Husband,13,198282,15024,0,60,44, >50K
 Female, Self-emp-not-inc, White, Masters, United-States, Never-married, Prof-specialty, Not-in-family,14,149116,0,0,50,47, <=50K
 Female, Private, White, Some-college, United-States, Never-married, Tech-support, Own-child,10,188300,0,0,40,20, <=50K
 Male, Private, White, HS-grad, United-States, Never-married, Craft-repair, Not-in-family,9,103432,0,0,40,29, <=50K
 Male, Self-emp-inc, White, HS-grad, United-States, Married-civ-spouse, Craft-repair, Husband,9,317660,7688,0,40,32, >50K
 Female, ?, White, 10th, United-States, Never-married, ?, Own-child,6,304873,34095,0,32,17, <=50K
 Male, Private, White, 11th, United-States, Never-married, Handlers-cleaners, Own-child,7,194901,0,0,40,30, <=50K
 Female, Local-gov, White, HS-grad, United-States, Never-married, Adm-clerical, Not-in-family,9,189265,0,0,40,31, <=50K
 Male, Private, White, HS-grad, United-States, Married-civ-spouse, Handlers-cleaners, Husband,9,124692,0,0,40,42, <=50K
 Male, Private, White, Bachelors, United-States, Never-married, Sales, Other-relative,13,432376,0,0,40,24, <=50K
 Male, Private, White, Prof-school, United-States, Married-civ-spouse, Prof-specialty, Husband,15,65324,0,0,40,38, >50K
 Male, Self-emp-not-inc, White, HS-grad, Canada, Married-civ-spouse, Other-service, Husband,9,335605,0,1887,50,56, >50K
 Female, Private, White, Some-college, United-States, Married-civ-spouse, Sales, Wife,10,377869,4064,0,25,28, <=50K
 Female, Private, White, HS-grad, United-States, Never-married, Machine-op-inspct, Own-child,9,102864,0,0,40,36, <=50K
 Male, Private, White, 9th, United-States, Married-civ-spouse, Handlers-cleaners, Husband,5,95647,0,0,50,53, <=50K
 Male, Self-emp-inc, White, Some-college, United-States, Married-civ-spouse, Sales, Husband,10,303090,0,0,50,56, <=50K
 Male, Local-gov, Black, Assoc-voc, United-States, Married-civ-spouse, Craft-repair, Husband,11,197371,0,0,40,49, >50K
 Male, Private, White, Some-college, United-States, Married-civ-spouse, Sales, Husband,10,247552,0,0,56,55, <=50K
 Male, Private, White, HS-grad, United-States, Never-married, Craft-repair, Not-in-family,9,102632,0,0,41,22, <=50K
 Female, Private, White, Some-college, United-States, Never-married, Other-service, Own-child,10,199915,0,0,40,21, <=50K
 Male, Private, White, Bachelors, United-States, Married-civ-spouse, Exec-managerial, Husband,13,118853,0,0,60,40, <=50K
 Male, Private, Black, Bachelors, Germany, Never-married, Exec-managerial, Own-child,13,77143,0,0,40,30, <=50K
 Male, State-gov, White, Bachelors, United-States, Married-civ-spouse, Prof-specialty, Husband,13,267989,0,0,50,29, >50K
 Male, Private, Black, Some-college, United-States, Never-married, Other-service, Own-child,10,301606,0,0,35,19, <=50K
 Female, Private, White, Bachelors, United-States, Married-civ-spouse, Exec-managerial, Wife,13,287828,0,0,40,47, >50K
 Female, Private, White, Some-college, United-States, Never-married, Adm-clerical, Own-child,10,111697,0,1719,28,20, <=50K
 Male, Private, White, Assoc-acdm, United-States, Married-civ-spouse, Adm-clerical, Husband,12,114937,0,0,40,31, >50K
 Male, ?, White, HS-grad, United-States, Married-civ-spouse, ?, Husband,9,129305,0,0,40,35, <=50K
 Male, Private, White, Some-college, United-States, Divorced, Craft-repair, Not-in-family,10,365739,0,0,40,39, <=50K
 Female, Private, White, Assoc-acdm, United-States, Never-married, Sales, Not-in-family,12,69621,0,0,60,28, <=50K
 Female, Private, White, HS-grad, United-States, Never-married, Other-service, Not-in-family,9,43323,0,1762,40,24, <=50K
 Male, Self-emp-not-inc, White, HS-grad, United-States, Married-civ-spouse, Craft-repair, Husband,9,120985,4386,0,35,38, <=50K
 Male, Private, White, Bachelors, United-States, Married-civ-spouse, Sales, Husband,13,254202,0,0,50,37, <=50K
 Female, Private, Black, Assoc-acdm, United-States, Divorced, Tech-support, Not-in-family,12,146195,0,0,36,46, <=50K
 Male, Federal-gov, White, Masters, Iran, Married-civ-spouse, Prof-specialty, Husband,14,125933,0,0,40,38, >50K
 Male, Self-emp-not-inc, White, HS-grad, United-States, Married-civ-spouse, Craft-repair, Husband,9,56920,0,0,60,43, <=50K
 Female, Private, White, Assoc-voc, United-States, Married-civ-spouse, Adm-clerical, Wife,11,163127,0,0,35,27, <=50K
 Male, Private, White, Some-college, United-States, Never-married, Sales, Own-child,10,34310,0,0,20,20, <=50K
 Male, Private, Asian-Pac-Islander, Some-college, United-States, Married-civ-spouse, Craft-repair, Husband,10,81973,0,0,40,49, >50K
 Male, Self-emp-inc, White, HS-grad, United-States, Married-civ-spouse, Craft-repair, Husband,9,66614,0,0,40,61, <=50K
 Female, Private, White, Some-college, United-States, Never-married, Sales, Own-child,10,232782,0,0,40,27, <=50K
 Male, Private, White, Some-college, Mexico, Never-married, Other-service, Own-child,10,316868,0,0,30,19, <=50K
 Female, Private, White, Assoc-voc, United-States, Never-married, Prof-specialty, Not-in-family,11,196584,0,1564,40,45, >50K
 Male, Private, White, Some-college, United-States, Never-married, Tech-support, Other-relative,10,105376,0,0,40,70, <=50K
 Female, Private, Black, HS-grad, United-States, Never-married, Transport-moving, Unmarried,9,185814,0,0,30,31, <=50K
 Male, Private, White, Some-college, United-States, Married-civ-spouse, Other-service, Husband,10,175374,0,0,24,22, <=50K
 Female, Private, White, HS-grad, United-States, Widowed, Other-service, Unmarried,9,108293,0,0,24,36, <=50K
 Male, Private, White, 11th, United-States, Married-civ-spouse, Craft-repair, Husband,7,181232,0,2179,40,64, <=50K
 Female, ?, White, Some-college, United-States, Divorced, ?, Not-in-family,10,174662,0,0,40,43, <=50K
 Female, Local-gov, White, Some-college, Mexico, Divorced, Adm-clerical, Unmarried,10,186009,0,0,38,47, <=50K
 Female, Private, White, HS-grad, United-States, Never-married, Adm-clerical, Not-in-family,9,198183,0,0,40,34, <=50K
 Female, Private, Asian-Pac-Islander, Bachelors, Philippines, Never-married, Exec-managerial, Other-relative,13,163003,0,0,40,33, <=50K
 Male, Private, White, HS-grad, United-States, Never-married, Craft-repair, Own-child,9,296158,0,0,35,21, <=50K
 Male, ?, White, HS-grad, United-States, Divorced, ?, Not-in-family,9,252903,0,0,45,52, >50K
 Male, Private, White, HS-grad, United-States, Married-civ-spouse, Craft-repair, Husband,9,187715,0,0,46,48, <=50K
 Male, Private, White, Bachelors, United-States, Never-married, Handlers-cleaners, Not-in-family,13,214542,0,0,40,23, <=50K
 Male, Self-emp-not-inc, Black, Some-college, United-States, Separated, Sales, Unmarried,10,494223,0,1816,2,71, <=50K
 Male, Private, White, HS-grad, United-States, Divorced, Craft-repair, Not-in-family,9,191535,0,0,60,29, <=50K
 Male, Private, Black, Bachelors, United-States, Separated, Other-service, Other-relative,13,228456,0,0,50,42, <=50K
 Female, ?, White, 1st-4th, United-States, Divorced, ?, Not-in-family,2,38317,0,0,20,68, <=50K
 Female, Private, White, HS-grad, United-States, Never-married, Other-service, Unmarried,9,252752,0,0,40,25, <=50K
 Female, Self-emp-inc, Asian-Pac-Islander, Masters, United-States, Divorced, Exec-managerial, Unmarried,14,78374,0,0,40,44, <=50K
 Female, Private, Asian-Pac-Islander, HS-grad, England, Never-married, Exec-managerial, Not-in-family,9,88419,0,0,40,28, <=50K
 Male, Self-emp-not-inc, White, Masters, United-States, Married-civ-spouse, Sales, Husband,14,201080,0,0,40,45, >50K
 Female, Private, White, Some-college, Mexico, Divorced, Other-service, Unmarried,10,207157,0,0,40,36, <=50K
 Male, Federal-gov, White, Assoc-acdm, United-States, Never-married, Exec-managerial, Not-in-family,12,235485,0,0,42,39, <=50K
 Male, State-gov, White, Masters, United-States, Widowed, Protective-serv, Unmarried,14,102628,0,0,40,46, <=50K
 Male, Private, White, 11th, United-States, Never-married, Handlers-cleaners, Own-child,7,25828,0,0,16,18, <=50K
 Female, Local-gov, White, Assoc-voc, United-States, Widowed, Prof-specialty, Not-in-family,11,54826,0,0,20,66, <=50K
 Male, Private, White, HS-grad, United-States, Never-married, Other-service, Not-in-family,9,124953,0,1980,40,27, <=50K
 Male, State-gov, White, HS-grad, United-States, Married-civ-spouse, Protective-serv, Husband,9,175325,0,0,40,28, <=50K
 Male, Private, White, Some-college, United-States, Married-civ-spouse, Sales, Husband,10,96062,0,1977,40,51, >50K
 Male, Private, White, Bachelors, United-States, Never-married, Craft-repair, Not-in-family,13,428030,0,0,50,27, <=50K
 Male, State-gov, White, Bachelors, United-States, Married-civ-spouse, Prof-specialty, Husband,13,149624,0,0,40,28, >50K
 Female, Private, White, HS-grad, United-States, Married-spouse-absent, Sales, Unmarried,9,253814,0,0,25,27, <=50K
 Male, Private, Black, HS-grad, United-States, Never-married, Craft-repair, Own-child,9,312956,0,0,40,21, <=50K
 Male, Private, Black, HS-grad, United-States, Never-married, Handlers-cleaners, Not-in-family,9,483777,0,0,40,34, <=50K
 Male, Private, White, HS-grad, United-States, Never-married, Other-service, Own-child,9,183930,0,0,12,18, <=50K
 Male, Private, White, Bachelors, United-States, Married-civ-spouse, Prof-specialty, Husband,13,37274,0,0,65,33, <=50K
 Male, Local-gov, Black, Some-college, United-States, Married-civ-spouse, Exec-managerial, Husband,10,181344,0,0,38,44, >50K
 Female, Private, White, Some-college, United-States, Divorced, Adm-clerical, Not-in-family,10,114580,0,0,40,43, <=50K
 Male, Private, Black, Some-college, United-States, Never-married, Craft-repair, Not-in-family,10,633742,0,0,45,30, <=50K
 Male, Private, White, 7th-8th, Mexico, Married-civ-spouse, Machine-op-inspct, Husband,4,286370,0,0,40,40, >50K
 Male, Federal-gov, White, Some-college, United-States, Married-civ-spouse, Adm-clerical, Husband,10,29054,0,0,42,37, >50K
 Male, Private, Black, HS-grad, United-States, Married-civ-spouse, Adm-clerical, Husband,9,304030,0,0,40,34, <=50K
 Female, Self-emp-not-inc, White, Bachelors, United-States, Divorced, Exec-managerial, Not-in-family,13,143129,0,0,40,41, <=50K
 Female, ?, White, Bachelors, United-States, Divorced, ?, Not-in-family,13,135105,0,0,50,53, <=50K
 Female, Private, White, Masters, United-States, Married-civ-spouse, Prof-specialty, Wife,14,99928,0,0,50,31, <=50K
 Male, State-gov, White, Doctorate, United-States, Married-civ-spouse, Prof-specialty, Husband,16,109567,0,0,1,58, >50K
 Female, Private, Black, Some-college, United-States, Divorced, Machine-op-inspct, Not-in-family,10,155222,0,0,28,38, <=50K
 Male, Private, White, Some-college, United-States, Married-civ-spouse, Machine-op-inspct, Husband,10,159567,0,0,40,24, <=50K
 Male, Local-gov, Black, Bachelors, United-States, Married-civ-spouse, Craft-repair, Husband,13,523910,0,0,40,41, <=50K
 Male, Private, White, Some-college, United-States, Married-civ-spouse, Tech-support, Husband,10,120939,0,0,45,47, <=50K
 Male, Federal-gov, White, Bachelors, United-States, Married-civ-spouse, Tech-support, Husband,13,130760,0,0,24,41, <=50K
 Male, Private, White, 5th-6th, Mexico, Married-civ-spouse, Transport-moving, Other-relative,3,197387,0,0,40,23, <=50K
 Male, Private, White, Some-college, United-States, Divorced, Craft-repair, Not-in-family,10,99374,0,0,40,36, <=50K
 Female, Federal-gov, White, Masters, United-States, Never-married, Exec-managerial, Not-in-family,14,56795,14084,0,55,40, >50K
 Male, Private, White, Masters, United-States, Married-civ-spouse, Prof-specialty, Other-relative,14,138992,7298,0,40,35, >50K
 Male, Self-emp-not-inc, White, HS-grad, United-States, Never-married, Sales, Not-in-family,9,32921,0,0,40,24, <=50K
 Female, Private, White, Masters, United-States, Never-married, Prof-specialty, Not-in-family,14,397317,0,1876,40,26, <=50K
 Male, ?, White, HS-grad, Italy, Never-married, ?, Own-child,9,170653,0,0,40,19, <=50K
 Male, Private, White, Bachelors, United-States, Married-civ-spouse, Exec-managerial, Husband,13,259323,0,0,50,51, >50K
 Female, Local-gov, White, Some-college, United-States, Never-married, Prof-specialty, Not-in-family,10,254817,0,1340,40,42, <=50K
 Female, State-gov, White, HS-grad, United-States, Divorced, Adm-clerical, Unmarried,9,48211,0,0,35,37, <=50K
 Female, Private, White, 11th, United-States, Never-married, Sales, Own-child,7,140164,0,0,40,18, <=50K
 Male, Private, Black, Bachelors, United-States, Married-civ-spouse, Other-service, Husband,13,128757,7298,0,36,36, >50K
 Male, Private, White, HS-grad, United-States, Divorced, Craft-repair, Not-in-family,9,36270,0,0,60,35, <=50K
 Female, Self-emp-inc, White, HS-grad, United-States, Married-civ-spouse, Sales, Wife,9,210563,15024,0,35,58, >50K
 Female, Private, White, 11th, United-States, Never-married, Sales, Own-child,7,65368,0,0,12,17, <=50K
 Male, Local-gov, Black, HS-grad, United-States, Married-civ-spouse, Transport-moving, Husband,9,160943,0,0,40,44, <=50K
 Male, Private, White, HS-grad, United-States, Married-civ-spouse, Craft-repair, Husband,9,208358,0,0,40,37, >50K
 Female, Private, Amer-Indian-Eskimo, Some-college, United-States, Never-married, Sales, Not-in-family,10,153790,0,0,40,35, <=50K
 Male, Private, Asian-Pac-Islander, HS-grad, United-States, Married-civ-spouse, Craft-repair, Husband,9,85815,0,0,40,60, <=50K
 Male, Self-emp-inc, White, 7th-8th, United-States, Married-civ-spouse, Machine-op-inspct, Husband,4,125417,0,0,40,54, >50K
 Male, Private, Black, Bachelors, United-States, Never-married, Exec-managerial, Not-in-family,13,635913,0,0,60,37, >50K
 Female, Private, White, Assoc-acdm, United-States, Divorced, Sales, Not-in-family,12,313321,0,0,40,50, <=50K
 Male, Private, White, Bachelors, Poland, Married-civ-spouse, Sales, Husband,13,182609,0,0,50,38, <=50K
 Male, Private, White, Bachelors, United-States, Married-civ-spouse, Prof-specialty, Husband,13,109434,0,0,55,45, <=50K
 Male, Private, White, 10th, United-States, Never-married, Craft-repair, Not-in-family,6,255004,0,0,40,25, <=50K
 Male, Private, White, Some-college, United-States, Married-civ-spouse, Handlers-cleaners, Husband,10,197860,0,0,40,31, <=50K
 Male, ?, White, 1st-4th, United-States, Divorced, ?, Not-in-family,2,187656,0,0,40,64, <=50K
 Male, Private, Black, HS-grad, United-States, Never-married, Other-service, Not-in-family,9,51744,0,2206,40,90, <=50K
 Male, Private, Black, HS-grad, United-States, Married-civ-spouse, Adm-clerical, Husband,9,176681,0,0,20,54, <=50K
 Female, Local-gov, White, Preschool, United-States, Never-married, Machine-op-inspct, Not-in-family,1,140359,0,0,35,53, <=50K
 Female, Private, White, HS-grad, United-States, Never-married, Sales, Own-child,9,243313,0,0,40,18, <=50K
 Female, ?, Amer-Indian-Eskimo, 10th, United-States, Divorced, ?, Not-in-family,6,24215,0,0,10,60, <=50K
 Male, Self-emp-not-inc, White, HS-grad, United-States, Married-civ-spouse, Farming-fishing, Husband,9,167687,1409,0,50,66, <=50K
 Female, Private, White, Assoc-voc, Columbia, Widowed, Adm-clerical, Not-in-family,11,314209,0,0,20,75, <=50K
 Female, Private, White, HS-grad, United-States, Divorced, Adm-clerical, Not-in-family,9,176796,0,0,40,65, <=50K
 Male, Private, Black, 11th, United-States, Separated, Transport-moving, Not-in-family,7,538583,3674,0,40,35, <=50K
 Female, Private, Black, HS-grad, United-States, Divorced, Sales, Unmarried,9,130408,0,0,38,41, <=50K
 Male, Private, White, Some-college, United-States, Never-married, Adm-clerical, Not-in-family,10,159732,0,0,42,25, <=50K
 Female, Private, Other, Some-college, United-States, Divorced, Craft-repair, Other-relative,10,110978,0,0,40,33, <=50K
 Male, Private, White, Prof-school, United-States, Never-married, Prof-specialty, Not-in-family,15,76714,0,0,55,28, >50K
 Male, State-gov, White, HS-grad, United-States, Married-civ-spouse, Other-service, Husband,9,268700,0,0,40,59, <=50K
 Female, State-gov, White, Some-college, United-States, Never-married, Adm-clerical, Not-in-family,10,170525,0,0,38,40, <=50K
 Male, Private, White, Bachelors, Iran, Married-civ-spouse, Exec-managerial, Husband,13,180138,0,0,50,41, >50K
 Male, Local-gov, White, Masters, United-States, Married-civ-spouse, Exec-managerial, Husband,14,115076,0,0,70,38, >50K
